step,roll,pitch,yaw,position_n,position_e,position_d,velocity_u,Va,gear_deploy,throttle,elevator
136,-0.215203,-8.28088e-05,-0.00108788,4.53731,-0.016586,0.0141731,7.92948,7.99943,1,0.998941,-0.0021326
137,-0.217533,-9.27884e-05,-0.00115704,4.61765,-0.0173857,0.0141335,7.99912,8.06898,1,0.998992,-0.00159036
138,-0.219847,-0.000103408,-0.00122965,4.69868,-0.0182149,0.0140937,8.06866,8.13843,1,0.999041,-0.00217375
139,-0.222147,-0.000114872,-0.00130595,4.78041,-0.0190744,0.0140538,8.13809,8.20777,1,0.999088,-0.00156383
140,-0.224431,-0.000127025,-0.00138595,4.86283,-0.0199649,0.0140138,8.20741,8.27701,1,0.999133,-0.00212103
141,-0.2267,-0.00014011,-0.00146991,4.94594,-0.0208872,0.0139738,8.27663,8.34613,1,0.999175,-0.00163646
142,-0.228953,-0.000153955,-0.00155783,5.02974,-0.0218421,0.0139337,8.34573,8.41514,1,0.999215,-0.00221204
143,-0.231191,-0.000168794,-0.00164997,5.11423,-0.0228302,0.0138935,8.41472,8.48405,1,0.999253,-0.00156768
144,-0.233412,-0.000184478,-0.00174632,5.19941,-0.0238523,0.0138532,8.48361,8.55284,1,0.99929,-0.00211242
145,-0.235617,-0.000201269,-0.00184717,5.28527,-0.0249093,0.0138129,8.55238,8.62153,1,0.999324,-0.0016946
146,-0.237805,-0.000218975,-0.00195251,5.37182,-0.0260018,0.0137726,8.62104,8.6901,1,0.999357,-0.00219831
147,-0.239977,-0.000237838,-0.00206262,5.45906,-0.0271307,0.0137322,8.68958,8.75855,1,0.999389,-0.00164127
148,-0.242131,-0.000257725,-0.00217749,5.54698,-0.0282968,0.0136918,8.75802,8.8269,1,0.999419,-0.00222182
149,-0.244269,-0.000278883,-0.00229741,5.63558,-0.0295008,0.0136514,8.82634,8.89513,1,0.999447,-0.0016492
150,-0.24639,-0.00030113,-0.00242236,5.72486,-0.0307435,0.013611,8.89454,8.96324,1,0.999474,-0.00222445
151,-0.248494,-0.000324747,-0.00255265,5.81483,-0.0320258,0.0135706,8.96263,9.03124,1,0.9995,-0.00168363
152,-0.25058,-0.000349543,-0.00268826,5.90547,-0.0333485,0.0135302,9.03061,9.09913,1,0.999524,-0.00227236
153,-0.252649,-0.000375799,-0.00282949,5.99679,-0.0347124,0.0134899,9.09846,9.1669,1,0.999547,-0.00167722
154,-0.2547,-0.000403328,-0.0029763,6.08879,-0.0361182,0.0134495,9.16621,9.23455,1,0.999569,-0.00224537
155,-0.256734,-0.000432428,-0.00312902,6.18146,-0.037567,0.0134092,9.23383,9.30209,1,0.99959,-0.00175215
156,-0.25875,-0.000462891,-0.00328762,6.27481,-0.0390594,0.0133689,9.30134,9.36951,1,0.99961,-0.00235329
157,-0.260749,-0.000495007,-0.0034524,6.36882,-0.0405963,0.0133287,9.36873,9.43681,1,0.999629,-0.00169578
158,-0.262729,-0.000528587,-0.00362332,6.46352,-0.0421786,0.0132886,9.436,9.50399,1,0.999647,-0.00224124
159,-0.264693,-0.000563956,-0.00380071,6.55888,-0.0438071,0.0132485,9.50315,9.57105,1,0.999665,-0.00186828
160,-0.266638,-0.000600876,-0.00398455,6.65491,-0.0454828,0.0132085,9.57018,9.638,1,0.999681,-0.00233951
161,-0.268565,-0.000639629,-0.00417511,6.75161,-0.0472063,0.0131686,9.63709,9.70482,1,0.999696,-0.00183936
162,-0.270475,-0.000680071,-0.00437237,6.84897,-0.0489788,0.0131288,9.70389,9.77153,1,0.999711,-0.00244912
163,-0.272367,-0.000722474,-0.00457664,6.947,-0.0508009,0.0130891,9.77056,9.83811,1,0.999725,-0.00179658
164,-0.274241,-0.000766626,-0.00478785,7.0457,-0.0526736,0.0130495,9.83711,9.90457,1,0.999739,-0.00234738
165,-0.276098,-0.000812877,-0.00500636,7.14506,-0.0545978,0.01301,9.90354,9.97091,1,0.999751,-0.00197679
166,-0.277937,-0.000860966,-0.00523209,7.24508,-0.0565744,0.0129707,9.96985,10.0371,1,0.999764,-0.00245571
167,-0.279758,-0.000911193,-0.00546534,7.34576,-0.0586043,0.0129315,10.036,10.1032,1,0.999775,-0.00195756
168,-0.281562,-0.000963395,-0.00570605,7.4471,-0.0606884,0.0128924,10.1021,10.1692,1,0.999786,-0.00257201
169,-0.283348,-0.00101786,-0.00595455,7.5491,-0.0628276,0.0128535,10.168,10.2351,1,0.999797,-0.00192957
170,-0.285117,-0.00107436,-0.00621072,7.65176,-0.0650229,0.0128148,10.2339,10.3008,1,0.999806,-0.00248847
171,-0.286868,-0.00113326,-0.00647492,7.75507,-0.0672751,0.0127762,10.2996,10.3664,1,0.999816,-0.00211421
172,-0.288602,-0.00119426,-0.00674705,7.85903,-0.0695852,0.0127378,10.3651,10.4319,1,0.999825,-0.00260991
173,-0.290319,-0.0012577,-0.00702741,7.96365,-0.0719542,0.0126997,10.4306,10.4972,1,0.999833,-0.00210541
174,-0.292019,-0.00132338,-0.00731589,8.06892,-0.0743829,0.0126616,10.4959,10.5625,1,0.999842,-0.00272186
175,-0.293702,-0.00139161,-0.00761283,8.17484,-0.0768724,0.0126239,10.5611,10.6276,1,0.999849,-0.00210742
176,-0.295368,-0.00146212,-0.00791806,8.28141,-0.0794237,0.0125863,10.6262,10.6926,1,0.999857,-0.00268212
177,-0.297018,-0.0015353,-0.00823195,8.38863,-0.0820375,0.012549,10.6911,10.7574,1,0.999864,-0.00227422
178,-0.298651,-0.00161084,-0.00855435,8.4965,-0.0847151,0.0125118,10.756,10.8222,1,0.99987,-0.0028225
179,-0.300267,-0.00168907,-0.00888555,8.60501,-0.0874572,0.012475,10.8207,10.8868,1,0.999877,-0.00227192
180,-0.301867,-0.00176976,-0.0092254,8.71416,-0.090265,0.0124383,10.8852,10.9512,1,0.999883,-0.0028753
181,-0.303451,-0.00185326,-0.00957423,8.82396,-0.0931394,0.0124019,10.9497,11.0156,1,0.999888,-0.00236369
